week,away,home
5,IND,NE
5,JAX,KC
5,ATL,PIT
5,MIA,CIN
5,DEN,NYJ
5,BAL,CLE
5,GB,DET
5,NYG,CAR
5,TEN,BUF
5,OAK,LAC
5,LAR,SEA
5,MIN,PHI
5,ARI,SF
5,DAL,HOU
5,WAS,NO
6,PHI,NYG
6,ARI,MIN
6,PIT,CIN
6,CAR,WAS
6,BUF,HOU
6,CHI,MIA
6,LAC,CLE
6,TB,ATL
6,SEA,OAK
6,IND,NYJ
6,LAR,DEN
6,JAX,DAL
6,BAL,TEN
6,KC,NE
6,SF,GB
7,DEN,ARI
7,TEN,LAC
7,HOU,JAX
7,CAR,PHI
7,BUF,IND
7,MIN,NYJ
7,DET,MIA
7,NE,CHI
7,CLE,TB
7,CIN,KC
7,NO,BAL
7,DAL,WAS
7,LAR,SF
7,NYG,ATL
8,MIA,HOU
8,PHI,JAX
8,BAL,CAR
8,SEA,DET
8,WAS,NYG
8,DEN,KC
8,CLE,PIT
8,NYJ,CHI
8,TB,CIN
8,IND,OAK
8,SF,ARI
8,GB,LAR
8,NO,MIN
8,NE,BUF
9,OAK,SF
9,NYJ,MIA
9,TB,CAR
9,ATL,WAS
9,PIT,BAL
9,KC,CLE
9,CHI,BUF
9,DET,MIN
9,HOU,DEN
9,LAC,SEA
9,LAR,NO
9,GB,NE
9,TEN,DAL
10,CAR,PIT
10,DET,CHI
10,NE,TEN
10,WAS,TB
10,ARI,KC
10,JAX,IND
10,ATL,CLE
10,MIA,GB
10,BUF,NYJ
10,NO,CIN
10,LAC,OAK
10,SEA,LAR
10,DAL,PHI
10,NYG,SF
11,GB,SEA
11,TB,NYG
11,PHI,NO
11,TEN,IND
11,HOU,WAS
11,MIN,CHI
11,DAL,ATL
11,CAR,DET
11,CIN,BAL
11,OAK,ARI
11,DEN,LAC
11,PIT,JAX
11,KC,LAR
12,CHI,DET
12,WAS,DAL
12,ATL,NO
12,CLE,CIN
12,SF,TB
12,NE,NYJ
12,NYG,PHI
12,SEA,CAR
12,JAX,BUF
12,OAK,BAL
12,MIA,IND
12,ARI,LAC
12,PIT,DEN
12,GB,MIN
12,TEN,HOU
13,NO,DAL
13,CAR,TB
13,LAR,DET
13,DEN,CIN
13,CHI,NYG
13,BAL,ATL
13,CLE,HOU
13,LAC,PIT
13,IND,JAX
13,ARI,GB
13,BUF,MIA
13,NYJ,TEN
13,KC,OAK
13,MIN,NE
13,SF,SEA
13,WAS,PHI
14,JAX,TEN
14,CAR,CLE
14,LAR,CHI
14,NO,TB
14,BAL,KC
14,NE,MIA
14,NYJ,BUF
14,NYG,WAS
14,IND,HOU
14,ATL,GB
14,CIN,LAC
14,DEN,SF
14,DET,ARI
14,PHI,DAL
14,PIT,OAK
14,MIN,SEA
15,LAC,KC
15,CLE,DEN
15,HOU,NYJ
15,MIA,MIN
15,DET,BUF
15,TB,BAL
15,GB,CHI
15,TEN,NYG
15,WAS,JAX
15,ARI,ATL
15,OAK,CIN
15,DAL,IND
15,SEA,SF
15,NE,PIT
15,PHI,LAR
15,NO,CAR
16,WAS,TEN
16,BUF,NE
16,CIN,CLE
16,MIN,DET
16,TB,DAL
16,NYG,IND
16,HOU,PHI
16,GB,NYJ
16,JAX,MIA
16,ATL,CAR
16,CHI,SF
16,LAR,ARI
16,BAL,LAC
16,PIT,NO
16,KC,SEA
16,DEN,OAK
17,OAK,KC
17,JAX,HOU
17,ATL,TB
17,DAL,NYG
17,MIA,BUF
17,CAR,NO
17,CIN,PIT
17,CHI,MIN
17,DET,GB
17,CLE,BAL
17,NYJ,NE
17,IND,TEN
17,PHI,WAS
17,ARI,SEA
17,SF,LAR
17,LAC,DEN